let NODES := 21;
let z1[0] := 1;
let z1[1] := 0.63477;
let z1[2] := 0.388832;
let z1[3] := 0.29934;
let z1[4] := 0.279838;
let z1[5] := 0.214493;
let z1[6] := 0.180487;
let z1[7] := 0.154855;
let z1[8] := 0.151302;
let z1[9] := 0.142579;
let z1[10] := 0.131577;
let z1[11] := 0.104416;
let z1[12] := 0.114162;
let z1[13] := 0.101877;
let z1[14] := 0.0915242;
let z1[15] := 0.085964;
let z1[16] := 0.0835083;
let z1[17] := 0.0740255;
let z1[18] := 0.0693365;
let z1[19] := 0.0704421;
let z1[20] := 0.0694147;
let z2[0] := 0;
let z2[1] := 0.290892;
let z2[2] := 0.307701;
let z2[3] := 0.29363;
let z2[4] := 0.216859;
let z2[5] := 0.171711;
let z2[6] := 0.14338;
let z2[7] := 0.108693;
let z2[8] := 0.0917136;
let z2[9] := 0.0746851;
let z2[10] := 0.0562457;
let z2[11] := 0.0444189;
let z2[12] := 0.0357868;
let z2[13] := 0.0291328;
let z2[14] := 0.0244181;
let z2[15] := 0.019347;
let z2[16] := 0.0157328;
let z2[17] := 0.0157945;
let z2[18] := 0.0132275;
let z2[19] := 0.0118624;
let z2[20] := 0.0100503;
